id,name,note
532,崎谷健次郎,
533,前嶋康明,
534,高橋諭一,
535,前嶋康明・谷村有美,
536,桜井鉄太郎,
537,井上睦都実,
538,鈴木俊介,
539,MY LITTLE LOVER,
540,小林武史・AKKO,
541,藤井謙二・小林武史,
542,AKKO,
543,サトウハチロー,
544,ありたあきら,
545,ザ・フォーク・クルセイダーズ,
546,端田宣彦,
547,はしだのりひことシューベルツ,
548,村井邦彦,
549,小谷充,
550,トワ・エ・モワ,
551,五木寛之,
552,川口真,
553,ザ・フォーク・クルセダーズ,
554,フォーク・パロディ・ギャング,
555,水島哲,
556,喜多嶋修,
557,ザ・ランチャーズ,
558,鳥塚繁樹,
559,森岡賢一郎,
560,ザ・ワイルドワンズ,
561,市川染五郎,
562,澤田駿吾,
563,ザ・ハプニングス・フォー,
564,横内章次,
565,フォア・ダイムズ,
566,橋本淳,
567,鈴木邦彦,
568,ザ・ゴールデン・カップス,
569,垣見源一郎,
570,新田和長,
571,ザ・リガニーズ,
572,早川義夫,
573,JACKS,
574,寺山修司,
575,加藤ヒロシ,
576,藤田敏雄,
577,いずみたく,
578,渋谷毅,
579,フォー・セインツ,
580,杉田二郎,
581,ジローズ,
582,加藤和彦と北山修,
583,山口洋子,
584,内藤法美,
585,"端田宣彦
坂庭省悟",
586,はしだのりひことクライマックス,
587,原田晴子,
588,落合和徳,
589,キャッスル＆ゲイツ,
590,モダン・フォーク・フェローズ,
591,渡辺ショク,
592,真田正徳,
593,佐藤勝,
594,黒沢久雄,
595,森繁久彌,
596,シュリークス,
597,難波寛臣,
598,河邨文一郎,
599,新井武士,
600,ダウン・タウン・ブギウギ・バンド,
601,モップス,
602,鈴木ヒロミツ,
603,つなき＆みどり,
604,山崎稔,
605,竜崎孝路,
606,三輪車,
607,荒木とよひさ,
608,片山知子,
609,川内康範,
610,りりィ,
611,Graciela Susana,
612,チェリッシュ,
613,アリス,
614,グレープ,
615,小坂恭子,
616,甲斐バンド,
617,高石ともやとザ・ナターシャー・セブン,
618,小林麻美,
619,湯川れい子,
620,中島安敏,
621,安西マリア,
622,堀内孝雄,
623,篠原信彦,
624,因幡晃,
625,丸山圭子,
626,田村功夫,
627,惣領泰則,
628,シグナル,
629,長岡和弘,
630,松藤英男・甲斐よしひろ,
631,奥山恍伸,
632,訳詞:なかにし礼,
633,M.Laurent,
634,福場哲之,
635,りりぃ,
636,さだまさし,
637,渡辺俊幸,
638,清須邦義,
639,なかにし礼,
640,F.Aguilar,
641,あんべ光俊,
642,岩谷時子,
643,竹田和夫,
644,クリエーション,
645,研ナオコ,
646,桜田淳子,
647,梅垣達志,
648,柏原芳恵,
649,郷ひろみ,
650,三田寛子,
651,小笠原寛,
652,ちあきなおみ,
653,山川恵津子,
654,中江有里,
655,長山洋子,
656,高尾直樹,
657,福井崚,
658,加藤登紀子,
659,朝倉紀幸,
660,小林信吾・斉藤ノヴ,
661,西田ひかる,
662,田辺信一,
663,グラシェラ・スサーナ,
664,根津甚八,
665,あかのたちお,
666,日吉ミミ,
667,森山良子,
668,増田けい子,
669,古手川祐子,
670,坂本龍一・筒美京平,
671,甲斐正人,
672,松坂慶子,
673,服部克久・J.サレッス,
674,小柳ルミ子,
675,松本典子,
676,前川清,
677,夏木マリ,
678,田中一郎 and 甲斐よしひろ,
679,佐田玲子,
680,真璃子,
681,川村栄二,
682,香坂みゆき,
683,吉田日出子,
684,山内美恵子,
685,Draw4,
686,J. Chiccarelli,
687,南いくよ,
688,徳武弘文,
689,正司明弘,
690,SHIGE,
691,水谷公生・南こうせつ,
692,南こうせつ・伊勢正三,
693,Joe Henry,
694,John Jarvis,
695,山田彗津子,
696,杉紀彦,
697,吉川忠英,
698,山田智英,
699,内山修,
700,内山修・ムーンライダーズ,
701,吉岡治,
702,ムーンライダーズ,
703,上柴はじめ,
704,ZARD,
705,坂井泉水,
706,織田哲郎,
707,葉山たけし,
708,栗林誠一郎,
709,明石昌夫,
710,上杉昇・坂井泉水,
711,出口雅之,
712,明石昌夫・池田大介,
713,春畑道哉,
714,小澤正澄,
715,池田大介,
716,徳永暁人,
717,石井AQ,
718,石井AQ・谷山浩子,
719,鳴海寛・山川恵津子,
720,平野孝幸,
721,橋本一子・藤本敦夫,
722,Jimmie Haskell,
723,"さだまさし
Joseph Mohr",
724,"さだまさし
Frannz Gruber",
725,さだまさし・福田郁次郎,
726,藤田大士,
727,act21 Tour Band 各自てきとう,
728,信田かずお,
729,山本直純,
730,末廣健一郎,
731,MAYUKO,
732,佐藤朋生,
733,十川ともじ,
734,EGO-WRAPPIN',
735,中納良恵,
736,森雅樹,
737,THE BLUE HEARTS,
738,甲本ヒロト,
739,河口純之助,
740,真島昌利,
741,河口純之助・甲本ヒロト,
742,佐久間正英・真島昌利,
743,UNICORN,
744,堀内一史,
745,川西幸一,
746,手島いさむ,
747,阿部義晴,
748,鈴木勝,
749,服部良一,
750,GOZ,
751,奥田民生・アンディ・スターマー,
752,ボビー・ヘブ,
753,X JAPAN,
754,YOSHIKI,
755,白鳥瞳 & YOSHIKI,
756,サザンオールスターズ,
757,"桑田佳祐
トミー・スナイダー（英語補作詞）",
758,桑田佳祐,
759,"小林武史
サザンオールスターズ",
760,桑野聖,
761,村田陽一（管編曲）,
762,山本拓夫（管編曲）,
763,トミー・スナイダー,
764,"小林武史
桑田佳祐",
765,ルイス・サルトール,
766,"サザンオールスターズ
小林武史",
767,"サザンオールスターズ
門倉聡",
768,LINDA OMORI,
769,まこと,
770,たいせー,
771,加藤みちあき,
772,HULK,
773,福田裕彦,
774,RYUJI,
775,荻野桂子,
776,宮手健雄,
777,今井千尋,
